Job Title,Average Salary,Headquarters,Size,Type of ownership,Industry
Senior Data Scientist,154,"New York, NY",1001 to 5000 employees,Nonprofit Organization,Insurance Carriers
Data Scientist,154,"Herndon, VA",5001 to 10000 employees,Public,Research & Development
Data Scientist,154,"Boston, MA",1001 to 5000 employees,Private Firm,Consulting
Data Scientist,154,"Bad Ragaz, Switzerland",501 to 1000 employees,Public,Electrical & Electronic Manufacturing
Data Scientist,154,"New York, NY",51 to 200 employees,Private,Advertising & Marketing
Data Scientist,154,"Santa Barbara, CA",51 to 200 employees,Private,Computer Hardware & Software
Data Scientist  Machine,154,"Basel, Switzerland",10000+ employees,Public,Biotech & Pharmaceuticals
Data Scientist,154,"Bedford, MA",1001 to 5000 employees,Public,Consumer Electronics & Appliances Stores
Data Scientist ,154,"Mountain View, CA",5001 to 10000 employees,Public,Computer Hardware & Software
Data Scientist,154,"Chicago, IL",51 to 200 employees,Private,Enterprise Software & Network Solutions
Data Scientist,154,"Mc Lean, VA",501 to 1000 employees,Private,Enterprise Software & Network Solutions
Data Scientist,154,"Saint Louis, MO",51 to 200 employees,Private,IT Services
Data Scientist ,154,"Richland, WA",1001 to 5000 employees,Government,Energy
Data Modeler,154,"Northbrook, IL",201 to 500 employees,Private,Chemical Manufacturing
Data Scientist,154,"Princeton, NJ",1001 to 5000 employees,Private,Consulting
Experienced Data Scientist,154,"Mays Landing, NJ",1 to 50 employees,Private,Federal Agencies
Data Scientist ,154,"Washington, DC",51 to 200 employees,Private,Internet
Data Scientist,154,"Memphis, TN",1001 to 5000 employees,Private,Chemical Manufacturing
Data Analyst II,154,"Tempe, AZ",5001 to 10000 employees,Public,Enterprise Software & Network Solutions
Medical Lab Scientist,154,"Reading, PA",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals
Data Scientist,154,"San Francisco, CA",51 to 200 employees,Private,Computer Hardware & Software
Data Scientist Machine Learning,154,"New York, NY",51 to 200 employees,Private,Internet
Human Factors Scientist,154,"Menlo Park, CA",1001 to 5000 employees,Public,Consulting
Business Intelligence Analyst,154,"New York, NY",5001 to 10000 employees,Private,Insurance Carriers
Data Scientist,154,"Chicago, IL",51 to 200 employees,Private,Advertising & Marketing
Data Scientist,154,"Atlanta, GA",51 to 200 employees,Private,Computer Hardware & Software
Data Scientist ,154,"Orlando, FL",51 to 200 employees,Private,Investment Banking & Asset Management
Data Scientist,154,"Lexington, MA",1001 to 5000 employees,Nonprofit Organization,Aerospace & Defense
Data Scientist,154,"Falls Church, VA",51 to 200 employees,Private,Federal Agencies
Data Scientist,154,"San Francisco, CA",51 to 200 employees,Private,Enterprise Software & Network Solutions
Data Scientist,103,"Boston, MA",1001 to 5000 employees,Private Firm,Consulting
Data Scientist  Machine,103,"Basel, Switzerland",10000+ employees,Public,Biotech & Pharmaceuticals
Data Scientist,103,"Boston, MA",1 to 50 employees,Private,IT Services
Senior Research Statistician,103,"Sheboygan, WI",1001 to 5000 employees,Private,Insurance Carriers
Data Engineer,103,"Seattle, WA",201 to 500 employees,Private,Enterprise Software & Network Solutions
Associate Data Scientist,103,"Bellevue, WA",1001 to 5000 employees,Private,Utilities
Business Intelligence Analyst,103,"Lincoln, NE",1001 to 5000 employees,Private,Enterprise Software & Network Solutions
Data Scientist,103,"New York, NY",501 to 1000 employees,Private,Health Care Services & Hospitals
Data Scientist,103,"Chantilly, VA",1 to 50 employees,Private,Enterprise Software & Network Solutions
Data Scientist,103,"Santa Monica, CA",501 to 1000 employees,Private,Internet
Data Analyst,103,"Boston, MA",501 to 1000 employees,Private,Investment Banking & Asset Management
Machine Learning Engineer,103,"Boston, MA",10000+ employees,Private,Insurance Carriers
Data Analyst I,103,"Ewing, NJ",1001 to 5000 employees,Private,N/A
Scientist ,103,"South San Francisco, CA",51 to 200 employees,Private,Biotech & Pharmaceuticals
Data Scientist,103,"Palo Alto, CA",51 to 200 employees,Private,Enterprise Software & Network Solutions
Computational Machine Learning,103,"New York, NY",10000+ employees,Public,Biotech & Pharmaceuticals
Senior Data Scientist,103,"Boston, MA",201 to 500 employees,Private,Computer Hardware & Software
Data Scientist,103,"Bellevue, WA",501 to 1000 employees,Private,Investment Banking & Asset Management
Data Scientist,103,"Singapore, Singapore",1001 to 5000 employees,Government,Federal Agencies
Data Scientist,103,"Cambridge, MA",201 to 500 employees,Private,Enterprise Software & Network Solutions
Data Analyst,103,"San Francisco, CA",1 to 50 employees,Private,Advertising & Marketing
Data Scientist,103,"OSAKA, Japan",10000+ employees,Public,Biotech & Pharmaceuticals
Data Scientist,103,"Santa Clara, CA",501 to 1000 employees,Private,Enterprise Software & Network Solutions
Junior Data Engineer,103,"Vienna, VA",51 to 200 employees,Private,IT Services
Data Analyst,103,"New Orleans, LA",51 to 200 employees,Private,Enterprise Software & Network Solutions
Data Analytics Engineer,103,"Akron, OH",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals
Senior Data Scientist,103,"Saint Louis, MO",201 to 500 employees,Private,Biotech & Pharmaceuticals
Product Data Scientist ,103,"San Francisco, CA",1001 to 5000 employees,Public,Internet
Data Scientist,103,"San Francisco, CA",1001 to 5000 employees,Private,Express Delivery Services
Data Scientist ,103,"Saint Louis, MO",201 to 500 employees,Private,Staffing & Outsourcing
Data Analyst,103,"Zurich, Switzerland",10000+ employees,Public,Insurance Agencies & Brokerages
Machine Learning Engineer,103,"Woburn, MA",201 to 500 employees,Private,Aerospace & Defense
Data Scientist,105,"Bedford, MA",1001 to 5000 employees,Public,Consumer Electronics & Appliances Stores
Data Scientist,105,"Santa Barbara, CA",51 to 200 employees,Private,Computer Hardware & Software
Global Data Analyst,105,"Carson, CA",201 to 500 employees,Subsidiary or Business Segment,Consumer Products Manufacturing
Data Engineer,105,"Coral Gables, FL",1001 to 5000 employees,Private,Investment Banking & Asset Management
Data Scientist,105,"New York, NY",501 to 1000 employees,Private,Internet
Data Scientist,105,"San Ramon, CA",1001 to 5000 employees,Private,Enterprise Software & Network Solutions
Machine Learning Scientist,105,"Chicago, IL",501 to 1000 employees,Private,Biotech & Pharmaceuticals
Data Scientist ,105,"Brisbane, CA",1 to 50 employees,Private,Biotech & Pharmaceuticals
Data Engineer Remote,105,"Winter Park, FL",51 to 200 employees,Public,Advertising & Marketing
Data Scientist,105,"Chicago, IL",501 to 1000 employees,Private,Biotech & Pharmaceuticals
Principal Data Scientist,105,"San Rafael, CA",5001 to 10000 employees,Public,Computer Hardware & Software
Business Data Analyst,105,"Deerfield, IL",10000+ employees,Public,Industrial Manufacturing
Purification Scientist,105,"Ipswich, MA",201 to 500 employees,Private,Biotech & Pharmaceuticals
Data Analyst,105,"Carmel, IN",1001 to 5000 employees,Subsidiary or Business Segment,Insurance Agencies & Brokerages
Data Engineer,105,"New York, NY",1001 to 5000 employees,Nonprofit Organization,Insurance Carriers
Data Scientist,105,"Chevy Chase, MD",1001 to 5000 employees,Private,Internet
Data Scientist,105,"Hartford, CT",201 to 500 employees,Private,Insurance Carriers
Data Scientist ,105,"Emeryville, CA",201 to 500 employees,Public,Biotech & Pharmaceuticals
Real World Science,105,"Cambridge, United Kingdom",10000+ employees,Public,Biotech & Pharmaceuticals
Data Scientist,105,"Rockville, MD",51 to 200 employees,Private,IT Services
Data Engineer,105,"Minneapolis, MN",51 to 200 employees,Private,Consulting
Data Scientist ,105,"Chicago, IL",1 to 50 employees,Private,Staffing & Outsourcing
Data Scientist,105,"Austin, TX",51 to 200 employees,Private,Computer Hardware & Software
Data Science,105,"San Francisco, CA",1001 to 5000 employees,Private,Internet
Data Analyst,105,"Yakima, WA",501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals
Data Scientist  Applied Mathematician,105,"Santa Cruz, CA",51 to 200 employees,Private,Computer Hardware & Software
Machine Learning Engineer,105,"Boston, MA",201 to 500 employees,Private,Computer Hardware & Software
Data Scientist,105,"Mc Lean, VA",10000+ employees,Private,Food & Beverage Manufacturing
Patient Safety,105,"Cambridge, United Kingdom",10000+ employees,Public,Biotech & Pharmaceuticals
Machine Learning Engineer,105,"Mc Lean, VA",51 to 200 employees,Private,IT Services
Senior Data Scientist,105,"Herndon, VA",5001 to 10000 employees,Public,Research & Development
Senior Data Scientist,105,"South Jordan, UT",201 to 500 employees,Private,Banks & Credit Unions
Data Scientist,115,"Princeton, NJ",1001 to 5000 employees,Private,Consulting
Data Scientist ,115,"Mountain View, CA",5001 to 10000 employees,Public,Computer Hardware & Software
Data Analytics Engineer,115,"Reston, VA",51 to 200 employees,Private,Enterprise Software & Network Solutions
Data Scientist,115,"Mc Lean, VA",10000+ employees,Private,Food & Beverage Manufacturing
Senior Data Scientist,115,"Denver, CO",51 to 200 employees,Private,Advertising & Marketing
Applied Technology Researcher,115,"Washington, DC",1001 to 5000 employees,Other Organization,Banks & Credit Unions
Data Scientist,115,"Holmdel, NJ",1 to 50 employees,Private,Enterprise Software & Network Solutions
Machine Learning Engineer,115,"Aurora, CO",1 to 50 employees,Private,Aerospace & Defense
Health Data Scientist ,115,"San Mateo, CA",51 to 200 employees,Private,Internet
Senior Data Scientist,115,"San Rafael, CA",5001 to 10000 employees,Public,Computer Hardware & Software
Data Scientist,115,"Mountain View, CA",5001 to 10000 employees,Public,Computer Hardware & Software
Data Scientist,115,"Goleta, CA",501 to 1000 employees,Private,Aerospace & Defense
Data Engineer,115,"Franklin, TN",501 to 1000 employees,Public,Health Care Services & Hospitals
Data Engineer,115,"Indianapolis, IN",51 to 200 employees,Private,Biotech & Pharmaceuticals
Lead Data Scientist,115,"Palo Alto, CA",10000+ employees,Public,Computer Hardware & Software
Data Scientist,115,"Reston, VA",10000+ employees,Public,Enterprise Software & Network Solutions
Data Analyst,115,"New York, NY",1001 to 5000 employees,Public,Investment Banking & Asset Management
Data Analyst,115,"Lutherville Timonium, MD",51 to 200 employees,Subsidiary or Business Segment,Video Games
Data Scientist ,115,"Westminster, CO",5001 to 10000 employees,Public,Aerospace & Defense
Data Engineer,115,"Burlingame, CA",1 to 50 employees,Private,Computer Hardware & Software
Data Scientist,115,"Reston, VA",1001 to 5000 employees,Nonprofit Organization,Consulting
Data Scientist,115,"New York, NY",1 to 50 employees,Private,Health Care Services & Hospitals
Software Engineer ,115,"Annapolis Junction, MD",51 to 200 employees,Private,Computer Hardware & Software
Data Analyst,115,"New York, NY",1001 to 5000 employees,Public,Investment Banking & Asset Management
Data Scientist,115,"South San Francisco, CA",51 to 200 employees,Private,Biotech & Pharmaceuticals
Data Engineer,115,"Bethesda, MD",201 to 500 employees,Private,Health Care Services & Hospitals
Data Scientist,115,"Beavercreek, OH",51 to 200 employees,Private,Consulting
Senior Data Engineer,115,"San Francisco, CA",51 to 200 employees,Private,Internet
Senior Data Scientist,115,"Mc Lean, VA",501 to 1000 employees,Private,Enterprise Software & Network Solutions
Data Engineer,115,"Winter Park, FL",51 to 200 employees,Public,Advertising & Marketing
Business Intelligence Analyst,115,"Schaumburg, IL",51 to 200 employees,Private,Shipping
Senior Data Scientist ,115,"Sunnyvale, CA",5001 to 10000 employees,Public,Telecommunications Services
Data Scientist,99,"Saint Louis, MO",51 to 200 employees,Private,IT Services
Data Scientist,99,"Chicago, IL",51 to 200 employees,Private,Enterprise Software & Network Solutions
Data Engineer,99,"Winter Park, FL",51 to 200 employees,Public,Advertising & Marketing
Senior Data Scientist ,99,"Sunnyvale, CA",5001 to 10000 employees,Public,Telecommunications Services
Data Scientist,99,"San Francisco, CA",1 to 50 employees,Private,Enterprise Software & Network Solutions
Senior Data Engineer,99,"Lehi, UT",201 to 500 employees,Private,Lending
Data Engineer,99,"New York, NY",51 to 200 employees,Private,Advertising & Marketing
Data Scientist,99,"Lake Oswego, OR",1001 to 5000 employees,Private,Computer Hardware & Software
Machine Learning Engineer,99,"San Francisco, CA",51 to 200 employees,Private,Computer Hardware & Software
Machine Learning Engineer,99,"San Francisco, CA",51 to 200 employees,Private,Computer Hardware & Software
Senior Data Engineer,99,"Lehi, UT",201 to 500 employees,Private,Lending
Data Scientist,99,"San Mateo, CA",201 to 500 employees,Private,Lending
Data Analyst,99,"Saint Louis, MO",201 to 500 employees,Private,Staffing & Outsourcing
Data Engineer,99,"Palo Alto, CA",201 to 500 employees,Private,Video Games
Data Integration and Modeling Engineer,99,"Holyoke, MA",501 to 1000 employees,Nonprofit Organization,Utilities
Data Engineer,99,"Chicago, IL",1001 to 5000 employees,Private,Enterprise Software & Network Solutions
Senior Data Scientist,99,"San Francisco, CA",51 to 200 employees,Private,Electrical & Electronic Manufacturing
AI Data Scientist,99,"Bedford, MA",5001 to 10000 employees,Nonprofit Organization,Federal Agencies
Machine Learning Engineer,99,"Dulles, VA",1 to 50 employees,Private,Aerospace & Defense
Research Scientist Patient,99,"Bethesda, MD",501 to 1000 employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals
Data Scientist,99,"Boston, MA",1001 to 5000 employees,Private,Insurance Carriers
Scientist ,99,"San Diego, CA",501 to 1000 employees,Private,Biotech & Pharmaceuticals
Data Scientist,99,"Cambridge, MA",51 to 200 employees,Private,Biotech & Pharmaceuticals
Analytics Manager,99,"Detroit, MI",201 to 500 employees,Private,Advertising & Marketing
Data Scientist,99,"Stamford, CT",10000+ employees,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers"
Staff Scientist,99,"Rockville, MD",201 to 500 employees,Private,Biotech & Pharmaceuticals
Data Engineer,99,"Carpinteria, CA",1001 to 5000 employees,Private,Computer Hardware & Software
Data Scientist ,99,"Columbia, SC",201 to 500 employees,Private,Biotech & Pharmaceuticals
Research Scientist,99,N/A,N/A,N/A,N/A
Senior Data Scientist,99,"Marcy-l'Etoile, France",10000+ employees,Private,Biotech & Pharmaceuticals
Data Scientist,133,"Mc Lean, VA",501 to 1000 employees,Private,Enterprise Software & Network Solutions
Experienced Data Scientist,133,"Mays Landing, NJ",1 to 50 employees,Private,Federal Agencies
Machine Learning Engineer,133,N/A,N/A,N/A,N/A
Data Scientist,133,"Reston, VA",10000+ employees,Public,Aerospace & Defense
Data Scientist,133,"San Francisco, CA",201 to 500 employees,Private,Computer Hardware & Software
Data Analyst,133,"Columbia, MO",1001 to 5000 employees,Private,Insurance Carriers
Geospatial Data Scientist,133,"Westminster, CO",5001 to 10000 employees,Public,Aerospace & Defense
Data Analyst,133,"Washington, DC",501 to 1000 employees,Nonprofit Organization,Telecommunications Services
Computational Scientist,133,"Fairfax, VA",10000+ employees,Subsidiary or Business Segment,IT Services
Data Scientist,133,"Chandler, AZ",201 to 500 employees,Private,Real Estate
Senior Data Analyst,133,"San Rafael, CA",5001 to 10000 employees,Public,Computer Hardware & Software
Senior Data Analyst,133,"Herndon, VA",5001 to 10000 employees,Public,Research & Development
Data Engineer,133,"Aurora, Canada",10000+ employees,Public,N/A
Senior Data Analyst,133,"Blue Bell, PA",1001 to 5000 employees,Other Organization,Biotech & Pharmaceuticals
Data Scientist,133,"Troy, MI",5001 to 10000 employees,Public,Staffing & Outsourcing
Machine Learning Scientist ,133,"Chicago, IL",501 to 1000 employees,Private,Biotech & Pharmaceuticals
Data Scientist,133,"Redwood City, CA",201 to 500 employees,Private,Enterprise Software & Network Solutions
Senior Data Scientist ,133,"New York, NY",201 to 500 employees,Private,Enterprise Software & Network Solutions
Data Analyst,133,"San Diego, CA",1001 to 5000 employees,Subsidiary or Business Segment,Banks & Credit Unions
Senior Data Machine Learning Scientist,133,"Chicago, IL",501 to 1000 employees,Private,Biotech & Pharmaceuticals
Data Engineer,133,"Greenville, SC",201 to 500 employees,Private,Venture Capital & Private Equity
Data Scientist ,76,"Richland, WA",1001 to 5000 employees,Government,Energy
Data Scientist,76,"Memphis, TN",1001 to 5000 employees,Private,Chemical Manufacturing
Machine Learning Engineer,76,"Arlington, VA",501 to 1000 employees,Nonprofit Organization,Federal Agencies
Research Scientist ,76,"Bethesda, MD",501 to 1000 employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals
Data Analyst,76,"Harrisburg, PA",201 to 500 employees,Private,Advertising & Marketing
Senior Data Scientist II,76,"Hamilton, Bermuda",1001 to 5000 employees,Public,Insurance Carriers
Data Scientist,76,"Lynchburg, VA",5001 to 10000 employees,Public,Aerospace & Defense
Senior Data Analyst,76,"San Francisco, CA",51 to 200 employees,Public,Internet
Lead Data Scientist,76,"Springfield, MA",5001 to 10000 employees,Private,Insurance Carriers
Production Engineer ,76,"San Carlos, CA",501 to 1000 employees,Public,Biotech & Pharmaceuticals
Statistical Scientist,76,"South San Francisco, CA",10000+ employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals
Computational Behavioral Scientist,76,"Herndon, VA",201 to 500 employees,Private,IT Services
Principal Data Scientist ,76,"Waltham, MA",N/A,Subsidiary or Business Segment,Advertising & Marketing
Principal Machine Learning Scientist,76,"San Jose, CA",501 to 1000 employees,Subsidiary or Business Segment,Computer Hardware & Software
Data Engineer,76,"Mountain View, CA",51 to 200 employees,Private,IT Services
Principal Data Scientist,76,"Cambridge, United Kingdom",10000+ employees,Public,Biotech & Pharmaceuticals
Data Scientist,76,"Jersey City, NJ",N/A,Public,N/A
Senior Data Scientist ,76,"Cambridge, United Kingdom",10000+ employees,Public,Biotech & Pharmaceuticals
Data Scientist,76,"Santa Cruz, CA",51 to 200 employees,Private,N/A
Health Plan Data Analyst,76,"Fort Worth, TX",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals
Principal ScientistAssociate Director,76,"Cambridge, MA",201 to 500 employees,Public,Biotech & Pharmaceuticals
Analytics Manager,76,"Cedar Rapids, IA",501 to 1000 employees,Private,Lending
Data Scientist ,92,"Washington, DC",51 to 200 employees,Private,Internet
Data Scientist,92,"Chicago, IL",51 to 200 employees,Private,Advertising & Marketing
Data Scientist,92,"McLean, VA",51 to 200 employees,Private,Consulting
Machine Learning Engineer,92,"Lorton, VA",501 to 1000 employees,Public,Aerospace & Defense
Data Engineer,92,"San Francisco, CA",51 to 200 employees,Private,Computer Hardware & Software
Senior Data Scientist,92,"Basel, Switzerland",10000+ employees,Public,Biotech & Pharmaceuticals
Data Engineer,92,"Mc Lean, VA",1001 to 5000 employees,Private,Research & Development
Data Science Instructor,92,"Mc Lean, VA",501 to 1000 employees,Private,Enterprise Software & Network Solutions
Senior Business Intelligence Analyst,92,"Maple Plain, MN",1001 to 5000 employees,Public,Miscellaneous Manufacturing
Data Analyst,92,"Kent, WA",201 to 500 employees,Public,Oil & Gas Services
Data Scientist ,92,"Woodbine, MD",1 to 50 employees,Private,IT Services
Data Scientist,92,"Denver, CO",201 to 500 employees,Subsidiary or Business Segment,Staffing & Outsourcing
